Award Name,Organization,Purpose,Level Of Study,Award Type,Award Amount,Deadline
CASFM-Ben Urbonas Scholarship,Colorado Association of Stormwater and Floodplain Managers - Metro,To provide of this scholarship is to promote interest in the CASFM organization and its goals among students and the engineering community.,Graduate Degree,Scholarship,"$2,500",October
CCF Career Development Award,Conquer Cancer,To provide funding to clinical investigators who have received their initial faculty appointment to establish an independent clinical cancer research program.,Professional Development,Grant,"$200,000",October
CEJIL Communications Internships,Center for Justice and International Law,"To encourage students or graduates with concentrations in communications or journalism that are interested in promoting and protecting human rights, with a particular emphasis on Latin America.","Graduate Degree
Professional Development",N/A,N/A,October
CEJIL Legal Internships,Center for Justice and International Law,To encourage students and graduates who wish to have more practical experience in the field of human rights to complement their academic and professional training.,"Graduate Degree
Professional Development",N/A,N/A,October
CfA Postdoctoral Fellowship,Harvard-Smithsonian Center for Astrophysics,"To honor innovative astrophysics research by offering to the next generation of researchers full access to the unique facilities, research staff and resources of the Center for Astrophysics.",Professional Development,Fellowship,"$16,000
$68,000",October
Channabasappa Memorial Scholarships,International Desalination Association,To encourage engineers and scientists to further their education in subjects related to desalination and water re-use.,"Bachelor's Degree
Graduate Degree",Scholarship,"$10,000",October
Charles S. Houston Grant,Wilderness Medical Society,To support medical students who are taking research in the field of wilderness and environmental medicine.,N/A,Grant,"$5,000",October
Children of Unitarian Universalist Religious Professionals College,Unitarian Universalist Association,"To provide educational support to the children of Unitarian Universalist Ministers, Credentialed Religious Professionals, and Certified Musicians who are attending college.",Bachelor's Degree,Grant,"$1,000",October
CHS Fellowships in Hellenic Studies,"Center for Hellenic Studies
Harvard University",To encourage and support scholarship of the highest quality on ancient Greek civilization.,"Graduate Degree
Professional Development",Fellowship,"$5,000
$20,000",October
CISDL Global Research Fellowship - Associate Fellows,Centre for International Sustainable Development Law,"To promote sustainable societies and the protection of ecosystems by advancing understanding, development and implementation of international sustainable development law.",Graduate Degree,Fellowship,N/A,October
CISDL Global Research Fellowships - Senior Research Fellows,Centre for International Sustainable Development Law,"To promote sustainable societies and the protection of ecosystems by advancing understanding, development and implementation of international sustainable development law.",N/A,Fellowship,N/A,October
CMC-KLI Leadership Research Fellowship,"Claremont McKenna College
Henry Kravis Leadership Institute",To encourage and support students research on projects related to all areas of leadership.,N/A,Fellowship,"$2,000",October
CMC-KLI Leadership Thesis Fellowship,"Claremont McKenna College
Henry Kravis Leadership Institute",,Bachelor's Degree,Fellowship,"$2,000",October
Coca-Cola Scholars Program Scholarship,Coca-Cola Scholars Foundation,To provide scholarships to high school seniors for them to pursue higher education.,N/A,Scholarship,"$20,000",October
Colgate-Palmolive PostDoctoral Fellowship Award in In Vitro,Society of Toxicology,To advance the development of alternatives to animal testing in toxicological research.,Professional Development,Fellowship,"$44,000",October
College JumpStart Scholarship,College JumpStart,"To support students who demonstrate hard work, perseverance, and a love of learning.","Associate Degree
Bachelor's Degree
High School
Vocational",Scholarship,"$1,000",October
Corning Outstanding Student Paper Competition,Optical Society of America Foundation,"To recognize student innovation, research excellence and presentation abilities in optical communications.","Bachelor's Degree
Graduate Degree",Prize,"$1,500",October
Craft Research Fund Grants,Center for Craft,"To encourage, expand and support scholarly craft research in the United States.",N/A,Grant,"$15,000",October
CSA College and University Collection Care Grant,Costume Society of America,To assist the costume and textiles collection of a college or university that receives little or no financial support from its institution.,Bachelor's Degree,Grant,"$1,500",October
CSA Travel Research Grants,Costume Society of America,"To recognize conduct research at a collection library, archive, museum or other site relevant to further an ongoing research project.",N/A,Grant,"$2,100",October
David Meador Foundation - Hospitality-Food Service Scholarships,New England Club Managers Association,To support students interested in pursuing a career in the club management profession.,Bachelor's Degree,Scholarship,N/A,October
DMSF Scholarship,Daniel Murphy Scholarship Fund,"To provide financial assistance significant financial aid, and families are also responsible for contributing to the tuition.",N/A,Scholarship,N/A,October
Doctoral Scholarship Outside Québec,Institut de Recherche Robert-Sauve en Sante et en Securite du Travail,To financially assist graduate students who want to enhance their research programs which deal with the prevention of industrial accidents and occupational diseases or the rehabilitation of affected workers.,Graduate Degree,Scholarship,"$25,950",October
Don Debolt Franchising Scholarship Program,International Franchise Association,To provide financial support to those students who are acquiring knowledge about franchising.,Bachelor's Degree,Scholarship,N/A,October
DontPayFull $500 Annual Student Scholarship,DontPayFull,To invest in students who need financial help.,"Bachelor's Degree
High School",Scholarship,$500,October
DP Law Aspiring Attorney Scholarship,"The Law Offices of Doroshow, Pasquale, Krawitz & Bhaya","The Law Offices of Doroshow, Pasquale, Krawitz & Bhaya has decided to offer the Aspiring Attorney Scholarship to give back to students who are interested in practicing law! We hope that this $1,000 award will help lessen the financial burden of a passionate future attorney. We are interested in hearing what inspired you to become an attorney. What area of law are you specifically interested in practicing and why? And, why you think you would make a good lawyer. If you have participated in law-related extracurricular activities during your previous education, please also share that information with us!

At The Law Offices of Doroshow, Pasquale, Krawitz & Bhaya we are passionate about serving the people of Delaware. Being an attorney means you have the power to make a difference in someone’s life. Whether that means easing their financial situation, helping them to spend more time with their children, or clearing their name of wrongdoing. How awesome is that?","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,October
DP Law Encouraging Diversity Scholarship,"The Law Offices of Doroshow, Pasquale, Krawitz & Bhaya","At The Law Offices of Doroshow, Pasquale, Krawitz & Bhaya, we want to encourage diversity in the legal industry. That is why we have created the DP Law Encouraging Diversity Scholarship! This $1,000 scholarship will be awarded to a minority law or pre-law student. We are passionate about promoting minority participation in the legal field. If you identify as a minority based on your ethnicity, race, gender, sexuality, or economic status and are interested in pursuing a career in law, you are eligible for our scholarship! Please share why you want to become a lawyer, what type of law you are pursuing, and what motivates you. We are looking forward to hearing from you!

Today’s youth is pushing for America to open its eyes on the lack of diversity in the professional world. For instance, we are seeing a huge push to expand diversity and representation in the entertainment industry. Also, there is a spotlight on our educators and teachers who lack diversity as well, and a push on administrations to diversify facilities and offer more diversity training.","Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000",October
Dr. James Watson Fellowship Program,Golf Course Superintendents Association of America,To provide financial assistance for the future educators and researchers of the turfgrass industry.,Graduate Degree,Fellowship,"$5,000",October
Dr. Robert and Anna Shaw Scholarship,"Alberta Learning Information Service
Alberta Scholarship Program",To encourage and reward the excellence of Albertans in post-secondary study.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,October
DwellWell AI in Real Estate Scholarship,DwellWell,To reward creative minds for pondering the impact that AI will have in the real estate industry in the coming years.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$1,000",October
Edith Weingarten Scholarship,American Occupational Therapy Foundation,To support student who enrolled full-time in either a professional occupational therapy educational program.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,October
ENA Foundation Seed Grants,Emergency Nurses Association,To provide funding for research that will advance the specialized practice of emergency nursing.,"Graduate Degree
Professional Development",Grant,$500,October
FACS Graduate Fellowships,National Association of Teacher Educators for Family and Consumer,,Graduate Degree,Fellowship,"$2,000
$4,000",October
Faith E. O'Neal Scholarship,Queens County Women's Bar Association,To recognize outstanding law students who have demonstrated a sincere dedication to Public Interest.,Graduate Degree,Scholarship,"$2,000",October
FBANC Foundation NAPABA Convention Scholarship,Filipino Bar Association of Northern California,To support law students and lawyers in attending the NAPABA Convention and encourage their continued service to communities in need.,Professional Development,Scholarship,$500,October
Fellowships for Creative and Performing Artists and Writers,American Antiquarian Society,"To recognize creative and performing artists, writers, film makers, journalists, and other persons whose goals are to produce imaginative works dealing with pre-twentieth-century American history, literature, and culture.",Professional Development,Fellowship,"$2,000",October
Filson Fellowships,Filson Historical Society,To encourage the scholarly use of the Filson’s nationally significant collections by providing support for travel and lodging.,Graduate Degree,Fellowship,$500,October
FlightSafety International Bell 206/Bell 407 Scholarship,Whirly-Girls International Women Helicopter Pilots,"To pay for training available at FlightSafety’s Helicopter Learning Center of Excellence in Lafayette, Louisiana, USA.","Professional Development
Vocational",Scholarship,"$10,000",October
Foundation for the Preservation of Honey Bees Scholarship,"Foundation for the Preservation of Honey Bees, Inc.",To recognize graduate students in apiculture.,Graduate Degree,Scholarship,"$3,000",October
Frank Oppenheimer Scholarship,American Occupational Therapy Foundation,To support students enrolled in a occupational therapy assistant programs.,"Graduate Degree
Professional Development",Scholarship,$750,October
Franklin Research Grants,American Philosophical Society,To recognized APS has awarded small grants to scholars in order to support the cost of research leading to publication in all areas of knowledge.,Graduate Degree,Grant,"$6,000",October
Frederick V. Hunt Postdoctoral Research Fellowship in Acoustics,Acoustical Society of America,To further the science of and education in acoustics.,Professional Development,Fellowship,N/A,October
Friends of the Oro Valley Public Library Support Staff Scholarship,Arizona Library Association,"To provide continuing education via community college, university, or national conference, to any non-M.L.S. degreed library staff member employed by any library within the State of Arizona.","Bachelor's Degree
Graduate Degree
Professional Development","Prize
Scholarship",$500,October
FSF Student Travel Grant,"The Forensic Sciences Foundation, Inc.",To assist students by helping them attend the American Academy of Forensic Sciences (AAFS) Annual Meeting.,"Bachelor's Degree
Graduate Degree",Grant,"$1,500",October
Gary Vanden Berg Internship Grant,Sports Field Management Association,To offset the costs a student may have incurred while interning.,Bachelor's Degree,Grant,"$1,000",October
Gerald V. Henderson Memorial Scholarship,"Society for Mining, Metallurgy, and Exploration","To award scholarships to promising college students who are pursuing degrees in geology, mining engineering or mineral economics with special interests in an industrial minerals and aggregates-oriented program.","Bachelor's Degree
Graduate Degree",Scholarship,N/A,October
Getty Foundation Library Research Grants,Getty Foundation,"To provide partial, short-term support for costs relating to travel and living expenses to scholars whose research requires use of specific collections housed in the Getty Research Institute; A Library Research Grant is not a prerequisite for obtaining access to the Research Library.",Professional Development,Grant,"$1,000
$2,500
$4,000",October
Getty Predoctoral Fellowships,Getty Foundation,To support emerging scholars who are working on projects related to the Getty Research Institute's annual theme.,Graduate Degree,Fellowship,"$30,000",October
Getty Scholar Grants,Getty Foundation,To support researchers in advancing knowledge of the arts and humanities and producing cutting-edge scholarship that contributes to the understanding and preservation of cultural heritage.,"Graduate Degree
Professional Development",Grant,"$21,500
$43,000
$65,000",October
Gilder Lehrman Short-Term research Fellowships,Gilder Lehrman Institute of American History,To support independent scholars working in the field of American history.,Graduate Degree,Fellowship,"$3,000",October
Golden Door,Golden Door,,High School,Scholarship,N/A,October
Golden Door Scholarship,Golden Door Scholars,To support DACA students in paying for higher education.,"Bachelor's Degree
Graduate Degree",Scholarship,"$40,000",October
Grants in Aid for Early Career Professionals,American Psychology-Law Society,To support AP-LS members who are early career professionals in conducting research related to psychology and law.,Graduate Degree,Grant,"$5,000",October
H.M. Muffly Memorial Scholarship,Colorado Nurses Foundation,To provide scholarships for qualified nursing students from both rural and urban settings.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,500",October
Harry and Pola Triandis Doctoral Thesis Award,International Association for Cross-Cultural Psychology,To purpose of the International Association for Cross-Cultural Psychology is to promote and facilitate research in the areas of culture and psychology.,Graduate Degree,"Grant
Prize",$500,October
Heidi Patriquin Award for International Education,Society for Pediatric Radiology,To subsidize the expenses of a pediatric radiologist per year who practices outside of North America.,Professional Development,Fellowship,"$3,000",October
Helicopter Foundation International Maintenance Technician,Helicopter Association International,To assist candidates who wish to obtain Maintenance Technician certificate.,N/A,Scholarship,N/A,October
Hench Post-Dissertation Fellowship,American Antiquarian Society,To provide scholars with time and resources to extend research and/or to revise the dissertation for publication.,Professional Development,Fellowship,"$35,000",October
Henry DeWitt Smith Graduate Scholarship,"Society for Mining, Metallurgy, and Exploration","To assist worthy students in the pursuit of their graduate education in the mining, metallurgical, materials, or petroleum departments of leading universities and colleges in the United States and Canada.","Bachelor's Degree
Graduate Degree",Scholarship,"$5,000",October
Herbert Scoville Jr. Peace Fellowship,Herbert Scoville Jr. Peace Fellowship,"To provide an opportunity for college graduates to gain practical knowledge and experience by contributing to the efforts of nonprofit, public-interest organizations working on peace and security issues.","Bachelor's Degree
Graduate Degree",Fellowship,N/A,October
Hertz Foundation Graduate Fellowship Award,The Hertz Foundation,"To support the students of the applied physical, biological and engineering science who are willing to morally commit to make their skills available in time of national emergency.",Graduate Degree,Fellowship,"$6,000
$32,000
$38,000",October
Hohn-Johnson Research Award,Veterinary Orthopedic Society,To foster research related to musculoskeletal problems confronting veterinarians.,N/A,Grant,"$40,000",October
IADR David B. Scott Fellowship,International Association for Dental Research,"To improve knowledge on oral health by advancing and supporting research projects, support and represent the oral health research community, and facilitate the communication and application of research findings.",Bachelor's Degree,"Fellowship
Prize","$2,500",October
IADR John Clarkson Fellowship,International Association for Dental Research,To allow investigators in the field of public dental health to obtain training and experience at a center of excellence.,"Graduate Degree
Professional Development",Fellowship,"$15,000",October
IADR John Gray Fellowship,International Association for Dental Research,To allow dental or postgraduate students to obtain training and experience in dental or related research.,"Bachelor's Degree
Professional Development",Fellowship,"$10,000",October
IADR Norton Ross Fellowship,International Association for Dental Research,To provide of this fellowship is to allow a dental or postgraduate student to obtain training and experience in dental or related research.,Professional Development,Fellowship,"$2,800",October
IADR Toshio Nakao Fellowship,International Association for Dental Research,To provide a young investigator to obtain training and experience in dental materials science at a center of excellence.,N/A,Fellowship,"$15,000",October
International Affairs Fellowship in Japan (IAF),Council on Foreign Relations,To provide the opportunity to mid-career U.S. citizens to expand their professional horizons by spending a period of research or other professional activity in Japan.,Professional Development,Fellowship,N/A,October
International Development and Education Awards,Conquer Cancer,To support early-career oncologists in developing countries and facilitates the sharing of knowledge between these oncologists and ASCO members.,Professional Development,Grant,N/A,October
IOIA Andrew Rutherford Scholarships,International Organic Inspectors Association,To provide students a full tuition for an IOIA Inspector training Course.,N/A,Scholarship,N/A,October
IOIA Organic Community Initiative Scholarships,International Organic Inspectors Association,To provide students a full tuition for an IOIA Inspector training Course.,N/A,Scholarship,N/A,October
